date,flu symptoms,flu,fever,cough,flu test
2022-03-13,4,32,46,38,1
2022-03-20,5,32,46,39,1
2022-03-27,5,32,46,36,1
2022-04-03,5,36,47,40,1
2022-04-10,5,35,50,42,1
2022-04-17,5,37,49,40,1
2022-04-24,5,37,50,44,1
2022-05-01,5,32,52,43,1
2022-05-08,5,33,58,48,1
2022-05-15,5,30,57,50,1
2022-05-22,4,28,58,48,1
2022-05-29,4,24,57,49,1
2022-06-05,4,22,55,44,1
2022-06-12,3,20,53,44,1
2022-06-19,3,19,56,42,1
2022-06-26,3,17,56,42,1
2022-07-03,3,25,56,40,1
2022-07-10,3,17,56,40,1
2022-07-17,3,17,56,39,1
2022-07-24,3,15,54,38,1
2022-07-31,3,17,51,36,1
2022-08-07,3,16,51,36,0
2022-08-14,3,20,50,36,1
2022-08-21,4,25,50,40,1
2022-08-28,3,25,50,42,1
2022-09-04,3,32,49,42,1
2022-09-11,4,41,49,44,1
2022-09-18,4,49,49,44,1
2022-09-25,4,52,48,45,1
2022-10-02,4,55,43,43,1
2022-10-09,6,66,44,44,1
2022-10-16,7,68,45,46,1
2022-10-23,10,87,51,51,2
2022-10-30,14,90,55,54,3
2022-11-06,13,83,53,54,3
2022-11-13,14,83,57,57,3
2022-11-20,18,100,66,66,3
2022-11-27,19,97,60,63,4
2022-12-04,18,97,62,60,4
2022-12-11,19,96,62,60,4
2022-12-18,15,84,62,64,4
2022-12-25,13,72,58,62,3
2023-01-01,9,48,45,53,2
2023-01-08,6,37,41,41,1
2023-01-15,5,34,41,38,1
2023-01-22,5,31,40,40,1
2023-01-29,4,29,46,39,1
2023-02-05,4,29,44,41,1
2023-02-12,4,28,43,40,1
2023-02-19,4,28,43,41,1
2023-02-26,4,26,42,40,1
2023-03-05,3,24,42,40,1
2023-03-12,3,23,42,40,1
2023-03-19,3,23,43,39,1
2023-03-26,3,20,41,39,1
2023-04-02,3,18,40,36,0
2023-04-09,3,18,42,35,0
2023-04-16,3,17,39,34,0
2023-04-23,3,16,40,33,0
